Date,Dollar_Exchange_Rate,Monthly_Change,12-Month_Change
2021-09-21,42.849999999999994,0.3512880562060783,0.5868544600938996
2021-09-22,42.7,-0.350058343057158,0.0
2021-09-23,42.599999999999994,-0.23419203747074846,0.0
2021-09-24,42.599999999999994,0.0,0.0
2021-09-27,42.7,0.23474178403757318,0.5889281507656108
2021-09-28,42.7,0.0,0.0
2021-09-29,42.849999999999994,0.3512880562060783,0.23391812865496409
2021-10-01,42.95,0.233372228704809,0.4678362573099504
2021-10-04,42.95,0.0,0.7033997655333968
2021-10-05,43.0,0.11641443538998875,0.8206330597889666
2021-10-06,43.05,0.11627906976743319,1.0563380281690238
2021-10-07,43.3,0.5807200929152101,1.4051522248243353
2021-10-08,43.3,0.0,1.0501750291715295
2021-10-12,43.45,0.346420323325658,1.7564402810304358
2021-10-13,43.650000000000006,0.4602991944764101,2.464788732394396
2021-10-14,43.8,0.34364261168382537,2.8169014084507005
2021-10-15,43.620000000000005,-0.4109589041095707,2.1545667447306904
2021-10-18,43.849999999999994,0.5272810637322101,2.6932084309133186
2021-10-19,43.75,-0.22805017103761926,2.100350058343081
2021-10-20,43.8,0.11428571428571122,1.9790454016297865
2021-10-21,43.75,-0.11415525114154557,1.8626309662397977
2021-10-22,43.900000000000006,0.34285714285715585,2.093023255813975
2021-10-25,43.849999999999994,-0.1138952164009388,1.8583042973286723
2021-10-26,43.599999999999994,-0.5701254275940704,0.6928406466512715
2021-10-27,43.599999999999994,0.0,0.6928406466512715
2021-10-28,43.75,0.34403669724771824,0.690448791714604
2021-10-29,43.95,0.45714285714286707,0.6872852233676952
2021-11-01,44.2,0.5688282138794021,0.9132420091324311
2021-11-03,44.150000000000006,-0.11312217194568985,1.2150389729481903
2021-11-04,44.150000000000006,0.0,0.6841505131129022
2021-11-05,43.900000000000006,-0.5662514156285381,0.34285714285715585
2021-11-08,43.599999999999994,-0.6833712984054885,-0.45662100456621557
2021-11-09,43.5,-0.2293577981651196,-0.5714285714285672
2021-11-10,43.55,0.11494252873562871,-0.797266514806394
2021-11-11,43.8,0.574052812858783,-0.11402508551880963
2021-11-12,43.8,0.0,0.4587155963302836
2021-11-15,44.150000000000006,0.7990867579908967,1.2614678899082854
2021-11-16,44.05,-0.22650056625143078,0.6857142857142895
2021-11-17,44.05,0.0,0.22753128555175195
2021-11-18,44.099999999999994,0.11350737797957144,-0.22624434389142412
2021-11-19,44.2,0.22675736961452753,0.11325028312569874
2021-11-22,44.05,-0.33936651583711397,-0.22650056625143078
2021-11-23,44.0,-0.11350737797956034,0.227790432801811
2021-11-24,44.150000000000006,0.3409090909091139,1.2614678899082854
2021-11-25,44.099999999999994,-0.11325028312573204,1.3793103448275668
2021-11-26,44.05,-0.11337868480725266,1.148105625717566
2021-11-29,44.2,0.34052213393871433,0.9132420091324311
2021-11-30,44.0,-0.4524886877828149,0.4566210045662267
2021-12-01,44.099999999999994,0.2272727272727204,-0.11325028312573204
2021-12-02,44.150000000000006,0.11337868480727487,0.2270147559591651
2021-12-03,44.150000000000006,0.0,0.2270147559591651
2021-12-06,44.150000000000006,0.0,0.11337868480727487
2021-12-07,44.150000000000006,0.0,-0.11312217194568985
2021-12-08,44.15,-1.1102230246251565e-14,0.2270147559591429
2021-12-09,44.17,0.045300113250279495,0.38636363636364024
2021-12-10,44.2,0.06791940230925775,0.11325028312569874
2021-12-13,44.25,0.11312217194570096,0.3401360544217802
2021-12-14,44.25,0.0,0.4540295119182858
2021-12-15,44.3,0.11299435028246929,0.2262443438913797
2021-12-16,44.400000000000006,0.22573363431153126,0.909090909090926
2021-12-17,44.45,0.11261261261261701,0.793650793650813
2021-12-20,44.3,-0.3374578177727905,0.3397508493770962
2021-12-21,44.349999999999994,0.11286681715574343,0.45300113250279495
2021-12-22,44.349999999999994,0.0,0.45300113250279495
2021-12-23,44.400000000000006,0.11273957158965953,0.5662514156285381
