date,dollar_exchange_rate,day_name,month_name,day,month,year,daily_change,monthly_change,yearly_change
2019-01-15,32.620000000000005,Tuesday,January,15.0,1.0,2019.0,-0.42735042735042905,1.1159330440173794,14.135759272218356
2019-01-16,32.67,Wednesday,January,16.0,1.0,2019.0,0.1532801961986424,1.2395413696932314,14.470918009810802
2019-01-17,32.66,Thursday,January,17.0,1.0,2019.0,-0.03060912151822808,1.3656114214773363,14.315715785789276
2019-01-18,32.64,Friday,January,18.0,1.0,2019.0,-0.06123698714022052,1.3664596273291854,14.245712285614282
2019-01-21,32.61,Monday,January,21.0,1.0,2019.0,-0.09191176470588583,1.1790257524045777,14.220665499124351
2019-01-22,32.599999999999994,Tuesday,January,22.0,1.0,2019.0,-0.030665440049080395,1.1479987589202305,14.385964912280683
2019-01-23,32.620000000000005,Wednesday,January,23.0,1.0,2019.0,0.061349693251565134,1.1786600496278217,14.576747453459804
2019-01-24,32.58,Thursday,January,24.0,1.0,2019.0,-0.12262415695894006,1.0545905707196137,14.476458186929014
2019-01-25,32.59,Friday,January,25.0,1.0,2019.0,0.030693677102532582,1.0542635658914834,14.75352112676058
2019-01-28,32.59,Monday,January,28.0,1.0,2019.0,0.0,0.7418856259660251,14.834390415785768
2019-01-29,32.58,Tuesday,January,29.0,1.0,2019.0,-0.030684258975161444,0.7109737248840927,14.839619316179068
2019-01-30,32.54,Wednesday,January,30.0,1.0,2019.0,-0.12277470841006491,0.4320987654321006,14.537134811686023
2019-01-31,32.56,Thursday,January,31.0,1.0,2019.0,0.06146281499693647,0.4938271604938386,14.647887323943676
2019-02-01,32.489999999999995,Friday,February,1.0,2.0,2019.0,-0.21498771498773767,0.43276661514683334,14.522382798731046
2019-02-04,32.480000000000004,Monday,February,4.0,2.0,2019.0,-0.03077870113878395,0.12330456226882322,14.487134296792412
2019-02-05,32.46,Tuesday,February,5.0,2.0,2019.0,-0.061576354679812574,0.06165228113441161,14.094903339191555
2019-02-06,32.47,Wednesday,February,6.0,2.0,2019.0,0.030807147258157766,-0.09230769230769581,14.130052724077313
2019-02-07,32.54,Thursday,February,7.0,2.0,2019.0,0.21558361564521186,0.12307692307692046,14.335910049191842
2019-02-08,32.58,Friday,February,8.0,2.0,2019.0,0.12292562999385111,0.06142506142504921,14.115586690017517
2019-02-11,32.56,Monday,February,11.0,2.0,2019.0,-0.061387354205021546,-0.7317073170731552,13.647469458987796
2019-02-12,32.59,Tuesday,February,12.0,2.0,2019.0,0.09213759213759562,-0.6402439024390053,13.752181500872618
2019-02-13,32.57,Wednesday,February,13.0,2.0,2019.0,-0.061368517950301085,-0.5799755799755947,13.682373472949397
2019-02-14,32.59,Thursday,February,14.0,2.0,2019.0,0.06140620202641427,-0.09196811771919415,13.15972222222223
2019-02-15,32.58,Friday,February,15.0,2.0,2019.0,-0.030684258975161444,-0.2754820936639223,13.440111420612814
2019-02-18,32.599999999999994,Monday,February,18.0,2.0,2019.0,0.061387354205021546,-0.12254901960786228,14.58699472759225
2019-02-19,32.61,Tuesday,February,19.0,2.0,2019.0,0.030674846625782567,-0.09191176470588583,14.70277875483644
2019-02-20,32.64,Wednesday,February,20.0,2.0,2019.0,0.09199632014719761,0.09199632014719761,14.808301090397471
2019-02-21,32.67,Thursday,February,21.0,2.0,2019.0,0.09191176470588583,0.21472392638039078,14.792691496837671
